Stanford Noun,Frequency Noun,WordNet Social Actor,PC-ACE Individual or Collective Actor,Student check (if social actor put an X in the appropriate cell),Confirmed social noun
man,3681,x,x,x,x
negro,7083,x,x,x,x
mob,2171,x,x,x,x
whites,123,,x,x,x
parent,19,x,,x,x
brute,128,x,x,x,x
perpetrator,42,x,,x,x
sheriff,1617,x,x,x,x
court,513,x,x,x,x
criminal,63,x,,x,x
lady,384,x,x,x,x
victim,324,x,,x,x
counsel,37,x,,x,x
citizen,726,x,x,x,x
judge,375,x,x,x,x
miller,45,x,,x,x
isaac,20,x,,x,x
jury,549,x,x,x,x
son,297,x,x,x,x
virgil,8,x,,x,x
philip,11,x,,x,x
george,104,x,,x,x
gardner,11,x,,x,x
brother,181,x,x,x,x
sherman,6,x,,x,x
harris,103,x,,x,x
king,68,x,,x,x
murderer,195,x,x,x,x
officer,881,x,x,x,x
correspondent,60,x,,x,x
magistrate,12,x,x,x,x
prisoner,860,x,x,x,x
farmer,328,x,x,x,x
merchant,34,x,x,x,x
wife,506,x,x,x,x
child,378,x,x,x,x
daniel,47,x,,x,x
informant,8,x,,x,x
alfred,15,x,,x,x
expert,2,x,,x,x
detective,24,x,x,x,x
lee,102,x,,x,x
coroner,391,x,x,x,x
guard,313,x,x,x,x
husband,180,x,x,x,x
people,799,x,x,x,x
john,363,x,,x,x
boone,7,x,,x,x
mother,173,x,x,x,x
mary,28,x,,x,x
folk,11,x,,x,x
burnett,4,x,,x,x
fiend,110,x,,x,x
posse,614,x,x,x,x
franklin,18,x,,x,x
guest,3,x,,x,x
dancer,2,x,,x,x
johnson,214,x,,x,x
fugitive,36,x,,x,x
physician,83,x,x,x,x
adam,60,x,,x,x
jackson,56,x,,x,x
woman,648,x,x,x,x
marshal,160,x,x,x,x
negress,42,x,x,x,x
murderess,9,x,,x,x
neighbor,147,x,,x,x
friend,183,x,x,x,x
daughter,271,x,x,x,x
dr.,201,x,,x,x
sister,87,x,x,x,x
miss,296,x,x,x,x
slayer,77,x,,x,x
servant,13,x,,x,x
assailant,174,x,,x,x
bennett,24,x,,x,x
community,189,x,,x,x
captain,94,x,x,x,x
girl,517,x,x,x,x
devil,14,x,x,x,x
assassin,26,x,,x,x
fellow,32,x,,x,x
authority,207,x,,x,x
tenant,19,x,x,x,x
town,622,x,x,x,x
harvey,47,x,,x,x
wade,30,x,,x,x
deputy,428,x,x,x,x
tom,84,x,,x,x
fisherman,4,x,x,x,x
gilbert,25,x,,x,x
father,221,x,x,x,x
mitchell,84,x,,x,x
webb,30,x,,x,x
johnny,8,x,,x,x
seminole,5,x,,x,x
crowd,1084,x,x,x,x
spectator,37,x,,x,x
associate,26,x,,x,x
person,347,,x,x,x
member,357,x,x,x,x
overseer,13,x,,x,x
stewart,33,x,,x,x
johnston,10,x,,x,x
witness,194,x,x,x,x
pilot,3,x,,x,x
albert,39,x,,x,x
smith,288,x,,x,x
rebecca,1,x,,x,x
family,220,x,x,x,x
henry,167,x,,x,x
defendant,68,x,,x,x
pope,86,x,,x,x
campbell,70,x,,x,x
bailiff,108,x,x,x,x
thomas,143,x,,x,x
planter,52,x,x,x,x
police,168,x,x,x,x
escort,5,x,,x,x
resident,41,x,,x,x
clerk,14,x,x,x,x
pursuer,37,x,,x,x
group,51,,x,x,x
womanhood,5,x,,x,x
boy,306,x,x,x,x
butler,28,x,,x,x
foreman,33,x,,x,x
robinson,54,x,,x,x
baker,66,x,,x,x
baby,14,x,x,x,x
convict,61,x,x,x,x
warden,19,x,x,x,x
chaingang,11,,x,x,x
mobster,3,x,,x,x
representative,29,x,,x,x
uncle,39,x,,x,x
leonard,24,x,,x,x
luther,6,x,,x,x
motorist,4,x,,x,x
passenger,68,x,,x,x
jumper,1,x,,x,x
gang,121,x,x,x,x
veteran,2,x,,x,x
georgian,6,x,,x,x
sharecropper,3,x,,x,x
reporter,34,x,x,x,x
civilization,8,x,,x,x
widow,67,x,x,x,x
pierce,10,x,,x,x
herbert,9,x,,x,x
kennedy,28,x,,x,x
undertaker,21,x,x,x,x
policeman,79,x,x,x,x
president,15,x,x,x,x
doctor,54,x,x,x,x
newton,33,x,,x,x
lad,6,x,,x,x
marshall,29,x,x,x,x
worker,6,x,,x,x
duke,19,x,,x,x
chief,115,x,x,x,x
harrison,35,x,,x,x
walton,17,x,,x,x
monroe,50,x,,x,x
leader,130,x,x,x,x
congress,8,x,,x,x
council,20,x,,x,x
employee,15,x,x,x,x
suspect,17,x,,x,x
attorney,68,x,x,x,x
clark,76,x,,x,x
accomplice,33,x,x,x,x
truman,5,x,,x,x
eugene,9,x,,x,x
governor,271,x,x,x,x
arthur,25,x,,x,x
congressman,2,x,,x,x
troops,64,x,x,x,x
senator,7,x,,x,x
walter,35,x,,x,x
russell,14,x,,x,x
dalton,32,x,,x,x
bryan,49,x,,x,x
searcher,15,x,,x,x
jailer,100,x,x,x,x
pitt,22,x,,x,x
executive,13,x,,x,x
committee,77,x,x,x,x
missionary,5,x,,x,x
society,16,x,,x,x
secretary,22,x,,x,x
chairman,25,x,,x,x
lewis,81,x,,x,x
fitzgerald,21,x,,x,x
everybody,52,,x,x,x
companion,32,x,,x,x
investigator,6,x,,x,x
cropper,4,x,,x,x
faggot,2,x,,x,x
seth,1,x,,x,x
davis,112,x,,x,x
bruce,24,x,,x,x
mayor,80,x,x,x,x
commissioner,46,x,x,x,x
robert,107,x,,x,x
crew,20,x,x,x,x
burke,14,x,,x,x
brother-in-law,10,x,,x,x
scoundrel,51,x,,x,x
constitutionalist,2,x,,x,x
o'brien,1,x,,x,x
executioner,6,x,,x,x
peddler,1,x,,x,x
reader,7,x,,x,x
newman,46,x,,x,x
rioter,23,x,,x,x
stranger,40,x,,x,x
lawyer,32,x,x,x,x
tucker,8,x,,x,x
wallace,57,x,,x,x
rapist,59,x,x,x,x
scott,67,x,,x,x
goodman,9,x,,x,x
drake,9,x,,x,x
villain,65,x,,x,x
capturer,3,x,,x,x
frank,72,x,,x,x
ravisher,42,x,,x,x
cracker,2,x,,x,x
gibson,93,x,,x,x
niece,8,x,,x,x
countryman,3,x,,x,x
peer,3,x,,x,x
umpire,1,x,,x,x
arbiter,1,x,,x,x
editor,14,x,,x,x
culprit,22,x,,x,x
darkey,9,x,x,x,x
stephenson,2,x,,x,x
lumberman,3,x,,x,x
taylor,69,x,,x,x
tyler,12,x,,x,x
solicitor,57,x,x,x,x
eastman,82,x,,x,x
morris,32,x,,x,x
customer,1,x,,x,x
hudson,47,x,,x,x
morgan,33,x,,x,x
edison,3,x,,x,x
storekeeper,2,x,,x,x
wilkinson,27,x,,x,x
andrew,15,x,,x,x
chapman,37,x,,x,x
jack,34,x,,x,x
mason,30,x,,x,x
carter,48,x,,x,x
occupant,20,x,,x,x
david,2,x,,x,x
regulator,7,x,,x,x
conductor,43,x,x,x,x
coach,17,x,,x,x
spokesman,6,x,,x,x
reuben,5,x,,x,x
gentleman,90,x,,x,x
boss,7,x,,x,x
salesman,8,x,,x,x
squad,28,x,x,x,x
participant,15,x,,x,x
sexton,5,x,,x,x
we,9,,x,x,x
producer,2,x,,x,x
laborer,7,x,,x,x
employer,27,x,x,x,x
beast,2,x,,x,x
paul,17,x,,x,x
butcher,5,x,,x,x
walker,42,x,,x,x
arnold,9,x,,x,x
henson,9,x,,x,x
juror,31,x,,x,x
veterinarian,1,x,,x,x
strickland,57,x,,x,x
willis,74,x,,x,x
aaron,9,x,,x,x
coachman,7,x,,x,x
courier,7,x,x,x,x
simon,9,x,,x,x
abductor,1,x,,x,x
palmer,16,x,,x,x
bradley,8,x,,x,x
ellison,2,x,,x,x
prosecutor,10,x,,x,x
motorman,5,x,,x,x
wilson,63,x,,x,x
attendant,16,x,,x,x
lord,12,x,,x,x
terry,2,x,,x,x
pauper,5,x,,x,x
operator,16,x,,x,x
possessor,4,x,,x,x
cook,33,x,,x,x
parker,10,x,,x,x
hampton,12,x,,x,x
sidney,20,x,,x,x
daddy,1,x,,x,x
count,10,x,,x,x
guy,2,x,,x,x
spencer,7,x,,x,x
joseph,22,x,,x,x
edward,17,x,,x,x
imbecile,1,x,,x,x
military,41,x,x,x,x
lawrence,63,x,,x,x
bystander,8,x,,x,x
militia,20,x,x,x,x
engineer,13,x,,x,x
marksman,2,x,,x,x
team,24,x,x,x,x
ross,37,x,,x,x
supervisor,2,x,,x,x
jailor,28,x,x,x,x
anderson,98,x,,x,x
murray,12,x,,x,x
hamilton,56,x,,x,x
assaulter,5,x,x,x,x
preacher,55,x,x,x,x
population,20,x,,x,x
democrat,5,x,,x,x
inhabitant,14,x,,x,x
delegation,9,x,,x,x
legislature,10,x,,x,x
burglar,16,x,x,x,x
inmate,8,x,,x,x
alexander,42,x,,x,x
workman,6,x,,x,x
cousin,24,x,,x,x
messenger,10,x,x,x,x
elijah,3,x,,x,x
joiner,4,x,,x,x
chauffeur,4,x,,x,x
grandmother,4,x,,x,x
sir,7,x,,x,x
peter,23,x,,x,x
duncan,9,x,,x,x
fowler,3,x,,x,x
specialist,1,x,,x,x
assistant,18,x,,x,x
nurse,9,x,,x,x
holder,4,x,,x,x
wearer,2,x,,x,x
sufferer,4,x,,x,x
mulatto,7,x,,x,x
captor,47,x,x,x,x
hunter,9,x,,x,x
runner,7,x,,x,x
howard,29,x,,x,x
outlaw,41,x,,x,x
madison,39,x,,x,x
driver,25,x,,x,x
army,17,x,,x,x
carroll,7,x,,x,x
monster,3,x,,x,x
infant,14,x,x,x,x
mum,2,x,,x,x
avenger,16,x,,x,x
proprietress,1,x,,x,x
fastener,1,x,,x,x
visitor,12,x,,x,x
creator,1,x,,x,x
mourner,1,x,,x,x
calvin,5,x,,x,x
glenn,4,x,,x,x
agent,26,x,x,x,x
catcher,1,x,,x,x
homer,10,x,,x,x
colonel,82,x,x,x,x
turner,157,x,,x,x
onlooker,3,x,x,x,x
cashier,3,x,,x,x
brewer,32,x,,x,x
volunteer,7,x,,x,x
vet,1,x,,x,x
owen,25,x,,x,x
robber,6,x,,x,x
acquaintance,2,x,,x,x
perry,39,x,,x,x
cochran,67,x,,x,x
martin,73,x,,x,x
livingston,40,x,,x,x
fodder,3,x,,x,x
beater,3,x,,x,x
abettor,2,x,,x,x
satan,1,x,,x,x
champion,2,x,,x,x
poisoner,2,x,,x,x
norman,4,x,,x,x
hathaway,2,x,,x,x
partner,7,x,x,x,x
mater,1,x,,x,x
professor,10,x,,x,x
pupil,3,x,,x,x
teacher,17,x,,x,x
gatherer,1,x,,x,x
individual,9,x,,x,x
janitor,2,x,,x,x
shepard,6,x,,x,x
passer-by,2,x,,x,x
damsel,3,x,,x,x
goldsmith,5,x,,x,x
freeman,72,x,,x,x
montgomery,31,x,,x,x
thief,9,x,,x,x
receiver,3,x,,x,x
counter,2,x,,x,x
hero,4,x,,x,x
yardmaster,2,x,,x,x
lorenz,1,x,,x,x
jefferson,51,x,,x,x
woodsman,7,x,x,x,x
filipino,4,x,,x,x
candidate,6,x,,x,x
treasurer,2,x,,x,x
orphan,2,x,,x,x
intruder,9,x,,x,x
mistress,3,x,x,x,x
adrian,1,x,,x,x
refugee,1,x,,x,x
blacksmith,1,x,,x,x
minister,25,x,,x,x
moralist,1,x,,x,x
barber,32,x,x,x,x
wayne,20,x,,x,x
observer,3,x,,x,x
ward,20,x,,x,x
tyson,3,x,,x,x
surgeon,4,x,,x,x
maxwell,25,x,,x,x
rider,11,x,,x,x
passer,5,x,,x,x
proprietor,11,x,,x,x
passersby,1,,x,x,x
author,1,x,,x,x
patron,1,x,,x,x
helper,8,x,,x,x
elizabeth,3,x,,x,x
nephew,12,x,,x,x
druggist,4,x,,x,x
aggressor,2,x,,x,x
horseman,5,x,,x,x
mozart,4,x,,x,x
businessman,4,x,,x,x
fraternity,2,x,,x,x
keeper,7,x,,x,x
adult,1,x,,x,x
patrol,10,x,,x,x
watson,14,x,,x,x
cameraman,2,x,,x,x
doris,1,x,,x,x
benjamin,2,x,,x,x
fighter,1,x,,x,x
follower,5,x,,x,x
caucasian,1,x,,x,x
nigger,5,x,,x,x
predecessor,4,x,,x,x
soldier,53,x,,x,x
chandler,5,x,,x,x
writer,6,x,,x,x
enquirer,2,x,,x,x
bishop,23,x,,x,x
pastor,9,x,,x,x
thug,1,x,,x,x
tribune,6,x,,x,x
sweetheart,1,x,,x,x
sympathizer,1,x,,x,x
fool,1,x,,x,x
hypocrite,1,x,,x,x
liar,1,x,,x,x
picker,1,x,,x,x
landlord,5,x,x,x,x
earl,2,x,,x,x
quincy,4,x,,x,x
lincoln,42,x,,x,x
douglass,6,x,,x,x
bookkeeper,4,x,x,x,x
anthony,9,x,,x,x
american,1,x,,x,x
elder,18,x,,x,x
samuel,5,x,,x,x
baldwin,12,x,,x,x
leo,6,x,,x,x
superintendent,12,x,x,x,x
watchman,5,x,,x,x
stockholder,1,x,,x,x
carpenter,4,x,,x,x
wheeler,14,x,,x,x
cooper,26,x,,x,x
spy,1,x,,x,x
ringleader,3,x,,x,x
speaker,4,x,,x,x
gambler,9,x,,x,x
advertiser,2,x,,x,x
alabamian,5,x,,x,x
audience,6,x,,x,x
hancock,24,x,,x,x
robertson,23,x,,x,x
fireman,2,x,,x,x
advocate,3,x,,x,x
sarah,9,x,,x,x
masker,12,x,,x,x
stephen,37,x,,x,x
peacemaker,1,x,,x,x
joel,6,x,,x,x
dewey,7,x,,x,x
who,4,x,,x,x
lieutenant,3,x,x,x,x
delegate,6,x,,x,x
stringer,2,x,,x,x
jacob,1,x,,x,x
lindsay,3,x,,x,x
politician,4,x,,x,x
moonshiner,2,x,,x,x
demonstrator,1,x,,x,x
offender,5,x,,x,x
ohioan,3,x,,x,x
seymour,3,x,,x,x
brakeman,4,x,x,x,x
owner,20,x,,x,x
dealer,3,x,,x,x
deacon,1,x,,x,x
chef,1,x,,x,x
mother-in-law,4,x,x,x,x
widower,1,x,,x,x
congregation,1,x,x,x,x
carolinian,2,x,,x,x
dean,8,x,,x,x
wesley,11,x,,x,x
chemist,3,x,,x,x
ex,1,x,,x,x
vigilante,3,x,,x,x
sergeant,8,x,x,x,x
photographer,4,x,x,x,x
bradford,5,x,,x,x
caller,1,x,,x,x
mccarthy,1,x,,x,x
barker,3,x,,x,x
fisher,14,x,,x,x
dressmaker,6,x,,x,x
waiter,1,x,,x,x
armstrong,4,x,,x,x
hale,14,x,,x,x
matron,1,x,,x,x
slumberer,1,x,,x,x
traitor,2,x,,x,x
clan,2,x,,x,x
brotherhood,1,x,,x,x
actor,1,x,,x,x
guardsman,5,x,,x,x
militiaman,1,x,,x,x
trooper,2,x,,x,x
thomson,12,x,,x,x
whitney,68,x,,x,x
graduate,6,x,,x,x
o'hara,2,x,,x,x
painter,4,x,,x,x
appointee,1,x,x,x,x
instigator,3,x,,x,x
gainer,1,x,,x,x
stepmother,2,x,,x,x
bride,3,x,,x,x
inspector,6,x,x,x,x
knight,9,x,,x,x
aiken,5,x,,x,x
monsieur,1,x,,x,x
in-law,4,x,,x,x
kelly,15,x,,x,x
cornell,1,x,,x,x
herman,2,x,,x,x
scientist,1,x,,x,x
eyewitness,1,x,,x,x
tourist,6,x,,x,x
son-in-law,7,x,x,x,x
buchanan,10,x,,x,x
contractor,2,x,x,x,x
goldberg,7,x,,x,x
wyatt,4,x,,x,x
manager,6,x,,x,x
faction,6,x,x,x,x
stepdaughter,1,x,,x,x
patient,1,x,,x,x
stepfather,1,x,,x,x
clown,2,x,,x,x
swanson,8,x,,x,x
educator,1,x,,x,x
director,3,x,,x,x
gunman,8,x,,x,x
ellington,9,x,,x,x
killer,5,x,,x,x
townsend,17,x,,x,x
hearer,2,x,,x,x
client,1,x,,x,x
boswell,2,x,,x,x
fakir,1,x,,x,x
carson,3,x,,x,x
skinner,2,x,,x,x
aunt,3,x,,x,x
wayfarer,1,x,,x,x
digger,1,x,,x,x
kid,9,x,,x,x
comrade,5,x,,x,x
maid,3,x,,x,x
peasant,1,x,,x,x
highwayman,2,x,,x,x
o'neill,1,x,,x,x
mccauley,2,x,,x,x
archer,1,x,,x,x
draper,4,x,,x,x
mom,1,x,,x,x
attacker,4,x,,x,x
grandson,2,x,,x,x
stanley,6,x,,x,x
patrolman,5,x,x,x,x
mamma,1,x,,x,x
champ,2,x,,x,x
runaway,2,x,,x,x
lender,2,x,,x,x
auditor,1,x,,x,x
matthew,8,x,,x,x
minority,1,x,,x,x
fagot,1,x,,x,x
prowler,3,x,,x,x
tennessean,2,x,,x,x
creep,1,x,,x,x
balliff,1,,x,x,x
cunningham,3,x,,x,x
nelson,2,x,,x,x
hubbard,2,x,,x,x
administrator,1,x,,x,x
bugler,2,x,,x,x
chum,3,x,,x,x
winder,12,x,,x,x
landowner,3,x,,x,x
connolly,4,x,,x,x
sheridan,1,x,,x,x
wolfe,1,x,,x,x
brethren,2,x,,x,x
collector,2,x,,x,x
englishman,1,x,,x,x
booker,12,x,,x,x
ernst,1,x,,x,x
voter,1,x,,x,x
otis,2,x,,x,x
richardson,12,x,,x,x
dickinson,2,x,,x,x
switchman,2,x,,x,x
savior,1,x,,x,x
coadjutor,1,x,,x,x
dodger,2,x,,x,x
excursionist,3,x,,x,x
patronage,1,x,,x,x
fanatic,1,x,,x,x
rascal,5,x,,x,x
luke,1,x,,x,x
jason,4,x,,x,x
wagoner,1,x,,x,x
legislator,1,x,,x,x
rick,4,x,,x,x
coon,1,x,,x,x
traveler,6,x,,x,x
herschel,1,x,,x,x
klan,3,x,,x,x
shopper,2,x,,x,x
hussar,5,x,,x,x
slave,2,x,,x,x
rifleman,5,x,,x,x
supporter,1,x,,x,x
listener,1,x,,x,x
orator,1,x,,x,x
narrator,1,x,,x,x
seller,8,x,,x,x
patrick,1,x,,x,x
barkeeper,1,x,,x,x
executor,1,x,,x,x
scout,2,x,x,x,x
haywood,3,x,,x,x
seeker,5,x,,x,x
trader,4,x,,x,x
abraham,1,x,,x,x
joshua,1,x,,x,x
forester,3,x,,x,x
lover,3,x,,x,x
troupe,1,x,,x,x
julian,2,x,,x,x
buyer,1,x,,x,x
carmichael,4,x,,x,x
sawyer,2,x,,x,x
athlete,1,x,,x,x
student,2,x,,x,x
sherlock,4,x,,x,x
vaughan,4,x,,x,x
sleeper,4,x,,x,x
o'connor,4,x,,x,x
smoker,1,x,,x,x
reagan,10,x,,x,x
gypsy,5,x,,x,x
reaper,1,x,,x,x
isaiah,2,x,,x,x
beggar,1,x,,x,x
stepson,1,x,,x,x
midwife,1,x,,x,x
ruth,2,x,,x,x
examiner,1,x,,x,x
bunyan,1,x,,x,x
cicero,1,x,,x,x
scholar,1,x,,x,x
transgressor,1,x,,x,x
judiciary,3,x,,x,x
rescuer,2,x,,x,x
passerby,1,x,,x,x
mcguffey,2,x,,x,x
caretaker,1,x,,x,x
clergyman,3,x,,x,x
caldwell,4,x,,x,x
sister-in-law,1,x,x,x,x
hendrix,3,x,,x,x
dispatcher,1,x,,x,x
benny,12,x,,x,x
kinsman,2,x,,x,x
victoria,1,x,,x,x
maniac,1,x,,x,x
many,1,,x,x,x
brady,1,x,,x,x
ira,1,x,,x,x
jude,1,x,,x,x
newborn,2,x,,x,x
looney,5,x,,x,x
pal,5,x,,x,x
drummer,2,x,,x,x
mechanic,2,x,,x,x
pitcher,2,x,,x,x
rutherford,1,x,,x,x
burt,1,x,,x,x
roosevelt,3,x,,x,x
santa,1,x,,x,x
civilian,3,x,,x,x
bowie,1,x,,x,x
edgar,1,x,,x,x
wagner,6,x,,x,x
senate,6,x,,x,x
procuress,1,x,,x,x
hombre,1,x,,x,x
prince,2,x,,x,x
journalist,2,x,,x,x
ted,1,x,,x,x
edwin,1,x,,x,x
protector,2,x,,x,x
renter,1,x,,x,x
girlfriend,1,x,,x,x
monk,1,x,,x,x
hater,2,x,,x,x
hopper,1,x,,x,x
questioner,3,x,,x,x
noah,1,x,,x,x
complainant,1,x,,x,x
plowboy,1,x,,x,x
patriot,1,x,,x,x
curtis,1,x,,x,x
bandit,1,x,,x,x
watcher,1,x,,x,x
blake,1,x,,x,x
newspaperman,1,x,,x,x
mccormick,1,x,,x,x
commander,1,x,,x,x
neighbour,1,x,,x,x
queer,2,x,,x,x
bobby,1,x,,x,x
townspeople,1,x,x,x,x
offspring,1,x,,x,x
underwood,1,x,,x,x
healer,1,x,,x,x
gregory,2,x,,x,x
isabella,1,x,,x,x
neighborhood,112,x,,x,x
